Categoria;Resposta;Dica1;Dica2;Dica3;Dica4;Dica5;Dica6;Dica7;Dica8;Dica9;Dica10
Personagem;Harry Potter;Sou o protagonista de uma série de livros de fantasia.;Descobri minha verdadeira natureza aos 11 anos.;Tenho uma cicatriz em forma de raio na testa.;Estudei em uma escola de magia chamada Hogwarts.;Meus melhores amigos são Rony e Hermione.;Pertenço à casa Grifinória.;Possuo uma coruja de estimação chamada Edwiges.;Utilizo uma varinha e uma vassoura voadora.;"Sou conhecido como ""O Menino que Sobreviveu"".";Sou o bruxo que derrotou Lord Voldemort.
Lugar;Paris;Sou uma capital europeia.;Sou conhecida pelo meu charme e romance.;Sou cortada pelo Rio Sena.;Tenho uma arquitetura histórica e icônica.;Sou um dos centros mundiais da moda.;Sou a sede do museu mais visitado do mundo (Louvre).;Meu ponto turístico mais famoso foi construído para uma feira mundial.;"Sou chamada de ""Cidade Luz"".";Minha culinária é famosa por croissants e queijos.;Abrigo a famosa Torre Eiffel.
Pessoa;Albert Einstein;Nasci no século XIX.;Sou conhecido por minha inteligência.;Fui físico teórico.;Nasci na Alemanha.;Sou famoso por uma teoria sobre o tempo e o espaço.;Ganhei o Prêmio Nobel de Física.;Minha imagem com cabelo bagunçado é icônica.;Minha equação mais conhecida é E=mc²;Fugi do nazismo e fui morar nos Estados Unidos.;Meu nome virou sinônimo de gênio. 
Animal;Elefante;Sou um mamífero terrestre.;Vivo em grupos sociais complexos.;Tenho uma excelente memória.;Sou herbívoro e consumo grandes quantidades de vegetação.;Minha gestação é uma das mais longas do reino animal (22 meses).;Tenho presas de marfim que infelizmente atraem caçadores.;Sou o maior animal terrestre vivo na atualidade.;Minhas orelhas ajudam a regular minha temperatura corporal.;Sou encontrado naturalmente na África e na Ásia.;Minha característica física mais marcante é a longa tromba.
Ano;1945;Pertenço à primeira metade do século XX.;Foi um ano que mudou a geografia do mundo.;Marcou a criação da ONU.;Pessoas saíram às ruas para comemorar o fim de um conflito.;Infelizmente, vi o primeiro uso de bombas atômicas.;Líderes como Hitler e Mussolini morreram neste ano.;Marcou o início da transição para a Guerra Fria.;No Brasil, terminou o Estado Novo de Getúlio Vargas.;Foi o ano em que a Alemanha se rendeu.;Sou o ano em que terminou a Segunda Guerra Mundial.
Obra;Mona Lisa;Sou uma obra de arte mundialmente famosa.;Fui pintada no início do século XVI.;Sou uma pintura a óleo sobre madeira de álamo.;Meu autor é o maior polímata do Renascimento.;"Sou conhecida pela técnica de ""sfumato"".";Meu sorriso é considerado um dos maiores mistérios da arte.;Fui roubada do Museu do Louvre em 1911.;"Também sou conhecida pelo nome ""La Gioconda"".";Fui criada por Leonardo da Vinci.;Sou o retrato de uma mulher que parece observar o espectador de qualquer ângulo.
Pessoa;Steve Jobs;Nasci no século XX nos EUA.;Fui um visionário da tecnologia.;Comecei uma empresa em uma garagem com um amigo.;Fui demitido da minha própria empresa e depois voltei.;Revolucionei a indústria da música com o iPod.;Era conhecido por vestir sempre calça jeans e blusa preta.;Ajudei a fundar a Pixar.;Minha empresa tem o nome de uma fruta.;Sou o rosto por trás do lançamento do primeiro iPhone.;Sou o cofundador da Apple.
Lugar;Amazônia;Sou uma vasta região geográfica.;Abrigo a maior biodiversidade do planeta.;Sou essencial para a regulação do clima global.;Estendo-me por nove países da América do Sul.;Sou cortada pelo maior rio em volume de água do mundo.;Minha vegetação é densa e predominantemente tropical.;Sofro constantemente com ameaças de desmatamento.;Grande parte do meu território está no Brasil.;"Sou chamada de ""Pulmão do Mundo"".";Sou a maior floresta tropical do mundo.
Comida;Chocolate;Sou um alimento derivado de uma fruta tropical.;Minha base é o cacau.;Fui consumido como bebida amarga pelos astecas e maias.;Tornei-me sólido e doce após processos industriais.;Posso ser encontrado nas versões ao leite, amargo ou branco.;Sou o ingrediente principal dos ovos de Páscoa.;Libero substâncias que trazem bem-estar.;Sou frequentemente dado em caixas de bombons.;Derreto facilmente em temperaturas próximas à do corpo.;Sou o doce mais amado e consumido do mundo.
Personagem;Batman;Sou um super-herói das histórias em quadrinhos.;Não possuo superpoderes sobre-humanos.;Minha identidade secreta é um bilionário órfão.;Vivo em uma cidade fictícia chamada Gotham City.;Utilizo tecnologia avançada e artes marciais.;Tenho um mordomo fiel chamado Alfred.;Meu símbolo é inspirado em um animal noturno.;Meus pais foram mortos em um beco.;Meu maior inimigo é o Coringa.;"Sou conhecido como o ""Cavaleiro das Trevas""."
